token,chain,contract,eventId,eventDate,window,date,label,return_1d,return_3d,return_7d,return_14d,return_30d,relative_return_vs_btc_7d,relative_return_vs_eth_7d,distance_to_30d_high,distance_to_60d_high,volatility_7d,volatility_30d,volatility_compression_score,atr_14,volume_1d,volume_7d_avg,volume_30d_avg,volume_zscore_7d,volume_zscore_30d,rsi_14,data_quality_score
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T-14,2025-12-21,pre_breakout,0.011890606420927478,-0.034052213393870635,-0.09202453987730069,-0.12985685071574646,0.05061728395061719,-0.12294032967750267,-0.10576698037266608,-0.1665034280117532,-0.3919256877456234,0.054920895809890166,0.2682471580070861,0.7952601018481644,0.033935903514541066,6695172.4,10601203.521499999,11316835.986903224,-0.13471224542693686,-0.869992222961603,38.25486091151965,0.4
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T-7,2025-12-28,pre_breakout,-0.07206068268015166,-0.061381074168797935,-0.13748531139835474,-0.21685782875433443,-0.21852541921746063,-0.1146711909823247,-0.09921819176815122,-0.2810969637610185,-0.45090705068262565,0.08737974496209168,0.26237191070711396,0.6669622722699391,0.027750749589848946,13181628.695,7065829.675,10000926.670548385,-0.5808286976311335,0.6294316737119519,29.746048809354946,0.4
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T-3,2026-01-01,pre_breakout,0.11313347608850823,0.10407079646017714,-0.002877237851662442,-0.11492622020431323,-0.20291336570406332,-0.028950523062647192,-0.05861732042702881,-0.23628795298726732,-0.36268900694728234,0.14295448114391568,0.21843279795103088,0.3455447969129445,0.0266976509536567,18295301.44,9536635.598625,10734962.055225803,-0.23671654579142093,1.4934640008292603,42.49704973134893,0.4
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T+0,2026-01-04,breakout,0.0017543859649122265,0.2815004809233728,0.361376021798365,0.1742068155111634,0.0690024070607114,0.2898668875739044,0.2727832596444516,-0.017694765298599126,-0.18328565590519003,0.21274898856365573,0.2920366048496827,0.2714988976359246,0.03228376062142266,23856562.254,18212905.516250003,11890233.893935483,0.8572666760717612,1.6224683410429155,63.79983093192296,0.4
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T+3,2026-01-07,post_breakout,-0.009579026972523242,-0.01701275956967719,0.40221270521056396,0.22934918648310398,-0.03440648808060938,0.37090093930193774,0.3639326807274027,-0.09470046082949302,-0.19718022067838165,0.23278647932446267,0.3106697417323282,0.25069471514535013,0.03718969463748745,14177075.495,24739727.417125005,13784835.495354837,1.1149067845177272,0.039919247025575276,58.10228444698558,0.4
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T+7,2026-01-11,post_breakout,-0.001581027667984162,-0.016865594187856787,-0.052039029271953925,0.2905313351498637,-0.04798994974874373,-0.02766407517056072,-0.0316432548708724,-0.12695852534562208,-0.18516129032258066,0.1226256031009782,0.3019305805239603,0.5938615992849158,0.03314704207989585,10353270.599,18189818.105750002,13018173.834967742,0.5287552262063601,-0.27246296140531867,54.52020520246465,0.4
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T+14,2026-01-18,post_breakout,-0.082529474812433,-0.08105206655931295,-0.09633148588017955,-0.143357518138604,-0.016657093624353896,-0.11156162893072458,-0.12360438738724856,-0.21105990783410142,-0.21105990783410142,0.14083640864688693,0.3281503940223264,0.5708174934042443,0.03473975562893782,22061980.006,11698066.397625,13110203.619096776,-0.13891342208379642,0.8805956480189716,43.68315241004629,0.4
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T+30,2026-02-03,post_breakout,-0.05117352828010775,-0.006846556584776397,-0.22550251256281406,-0.2833478639930253,-0.3830372779584688,-0.05406404272860443,0.05904481890206259,-0.43179723502304146,-0.43179723502304146,0.13279842373781217,0.24607967627657315,0.46034379698810335,0.02750207786602758,11600915.775,11865409.13975,12241260.07787097,-0.042819423502996334,-0.07295225609770316,28.301155023717186,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-07-14,2025-07-14,T+30,2025-08-13,post_breakout,-0.06999041227229148,-0.07766621025406963,-0.05535429083401499,-0.13048155186632723,-0.15669773264709974,-0.06853252562407493,-0.2591960339532809,-0.33547078811794373,-0.33547078811794373,0.0955619609501204,0.3420830224789224,0.7206468761366007,0.000003144124803412947,678115456170,458480397528.875,592017382833.7742,-0.419331859747607,0.2703645370631328,43.2741797062146,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T-30,2025-08-13,pre_breakout,-0.06999041227229148,-0.07766621025406963,-0.05535429083401499,-0.13048155186632723,-0.15669773264709974,-0.06853252562407493,-0.2591960339532809,-0.33547078811794373,-0.33547078811794373,0.0955619609501204,0.3420830224789224,0.7206468761366007,0.000003144124803412947,678115456170,458480397528.875,592017382833.7742,-0.419331859747607,0.2703645370631328,43.2741797062146,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T-14,2025-08-29,pre_breakout,0.10887438337734816,0.03670921457188111,-0.025486074619022546,-0.07510078550351183,-0.20205098784466993,0.026313579271917444,0.05314548283480871,-0.20205098784466993,-0.39016770799079253,0.14259269302752398,0.2502207598275044,0.4301324433439351,0.000002203525574617368,746463596993,266634618863.375,334766875035.0968,-0.4349369574787173,2.6281548522482563,46.240198413328685,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T-7,2025-09-05,pre_breakout,-0.004102461476886143,-0.03570217507145279,-0.10550912195560357,-0.12830618321947806,-0.22457247477698572,-0.11940070259593534,-0.0810812643280667,-0.2662194043055146,-0.45451057766085723,0.12704242647521052,0.2540254605847196,0.4998830976124111,0.0000018265001363374902,93621447748,308000315485.625,303709629651.9677,0.027211574621939214,-1.3323814561819025,41.06441645210011,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T-3,2025-09-09,pre_breakout,0.0328559393428813,0.13634811454217274,0.12842125660030046,0.08515792415913538,-0.11402708048075451,0.11385464147137436,0.14512531374634655,-0.11402708048075451,-0.36166831086265483,0.13980117761935823,0.28127778744749704,0.5029782518982117,0.0000017945221364518704,194463720747,216105906076,285460597938.5484,-0.4464320670515277,-0.5857415394529916,54.65379426694313,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T+0,2025-09-12,breakout,0.05252268024828907,0.1355713917747059,0.3288455741987341,0.18864024445043584,0.09080412371134022,0.2799399800053676,0.2387997901915211,0,-0.27512879535240603,0.10775274928527147,0.2828360796844006,0.6190275674676791,0.0000018385561712043583,547165686486,304613927624.25,282856798980.5161,0.13832656815838854,1.6804120590115101,64.62210751316428,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T+3,2025-09-15,post_breakout,0.042410125692186065,-0.10331921971873578,0.051700438965991316,0.1909519983932517,-0.033573727743144585,0.006151556897909714,0.00914114018977246,-0.10331921971873578,-0.3500219226131755,0.14606292812044513,0.2973703709103054,0.5088181526850855,0.0000018718392522361423,163874246334,319868187955.875,263164224603.1613,0.4112502894319697,-0.7201089639342183,52.88106228138972,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T+7,2025-09-19,post_breakout,-0.021060549078600863,-0.005349636988918544,-0.11435808256464536,0.17688134230885172,0.1036935833411854,-0.11614937226732058,-0.08073077165381608,-0.11435808256464536,-0.35802367642222954,0.1490570634012097,0.30146258956413835,0.5055536953466768,0.0000018439636319011987,124857918418,262394495145.875,263800624218.7097,-0.010094852388818102,-0.9974945633785673,50.77833308516067,0.4
