token,timeframe,timestamp,close,volume,return_3,vol_zscore_7,range_3,volatility_7,compression,expansion
WIF,hour,2026-04-28T07:00:00.000Z,0.17801389619610103,2705.986034725726,0.010743451670244264,0.04348093849838456,0.015219698205980318,0.0057236503241184815,false,false
WIF,hour,2026-04-28T06:00:00.000Z,0.17634510996081992,5286.843351925741,0.00570254985770724,0.07870374794096183,0.009496294054279182,0.006447813016384696,false,false
WIF,hour,2026-04-28T05:00:00.000Z,0.17756831886924054,5487.559309625321,0.0069694763743562566,0.149269548421628,0.009463184069305203,0.006571503407240767,false,false
WIF,hour,2026-04-28T04:00:00.000Z,0.17813089580997288,22505.310180279885,0.0006572498910026743,0.3536882708644134,0.010126653637005968,0.006473846898583615,false,false
WIF,hour,2026-04-28T03:00:00.000Z,0.17809481376092512,4543.390135284367,0.009922043205473302,0.34277908904249,0.003168228118139758,0.006407152850636243,false,false
WIF,hour,2026-04-28T02:00:00.000Z,0.1779580835664746,4896.864676444265,0.002195012599748053,0.3489989293906943,0.0009710839768271559,0.006192444041306364,false,false
WIF,hour,2026-04-28T01:00:00.000Z,0.17640751461754411,11515.77455193292,-0.009674802254782563,0.036944181947390846,0.00956478042921874,0.006687376566854478,false,false
WIF,hour,2026-04-28T00:00:00.000Z,0.17812814406558355,3921.970934277455,0.00018714921537905157,0.04439645759552123,0.009753719685750393,0.00673934893493985,false,false
WIF,hour,2026-04-27T23:00:00.000Z,0.17765079224332217,2199.37128456356,-0.0017267623756897265,-0.006292063519756882,0.009753719685750393,0.005811574833471028,false,false
WIF,hour,2026-04-27T22:00:00.000Z,0.17602411957298592,2679.6172606706427,-0.002173348711302968,-0.05007705795308028,0.01195304653533708,0.006247916029691888,false,false
WIF,hour,2026-04-27T21:00:00.000Z,0.17488075974842585,4548.384745722931,-0.018230607713299256,-0.3368904836553461,0.01583954975310689,0.006608609955940721,true,false
WIF,hour,2026-04-27T20:00:00.000Z,0.1744552981619989,2324.5075764415255,-0.017987502565969513,-0.36658949175618744,0.008992684243560293,0.006671991701921251,true,false
WIF,hour,2026-04-27T19:00:00.000Z,0.17469422054042108,14155.646836101956,-0.007555209114472584,-0.27398358825089925,0.0024388000302052607,0.0066857149915702085,true,false
WIF,hour,2026-04-27T18:00:00.000Z,0.17485347102959248,7920.132207509652,-0.00015604185887929718,-0.35857437045847956,0.002282377616435815,0.005820365598915295,true,false
WIF,hour,2026-04-27T17:00:00.000Z,0.17588293653805304,2408.864174638804,0.008183405096292567,-0.3744159435404146,0.006804552514414229,0.005033913026499963,true,false
WIF,hour,2026-04-27T16:00:00.000Z,0.17540086963391452,7694.014948975122,0.004045062803494023,-0.24419694035052145,0.005887589776735575,0.005038623167307361,true,false
WIF,hour,2026-04-27T15:00:00.000Z,0.174683574816345,20885.14431556076,-0.0009716490742052495,-0.015975592881847422,0.00686591010613903,0.003962130214785681,false,false
WIF,hour,2026-04-27T14:00:00.000Z,0.17699196851722568,8436.090910664137,0.006305512069573038,0.024316722791258016,0.013214715254754933,0.005852607818941434,false,false
WIF,hour,2026-04-27T13:00:00.000Z,0.17531164538963773,3426.1218491522636,-0.0005086875821255347,0.24762063880837207,0.013214715254754933,0.006812100076791298,false,false
WIF,hour,2026-04-27T12:00:00.000Z,0.17604047633226272,358.7837987404083,0.00776776819082337,-0.014317134715968986,0.009584777576260611,0.00697108138766001,false,false
WIF,hour,2026-04-27T11:00:00.000Z,0.17670772951276248,6424.938124965662,-0.001605942952352303,-0.06951811032346697,0.007963442017909848,0.007107882829348641,false,false
WIF,hour,2026-04-27T10:00:00.000Z,0.17713540050030846,1364.2779768038297,0.010402931913720609,-0.05473198585812551,0.006219729637513345,0.0068142347715586145,false,false
WIF,hour,2026-04-27T09:00:00.000Z,0.17731735834341553,5259.201189566071,0.007253343309198915,-0.10251868670032628,0.0034499273593406547,0.006745981166200421,false,false
WIF,hour,2026-04-27T08:00:00.000Z,0.17680957790778337,3579.846290185518,0.0005763663836421866,-0.4504541067860058,0.002871905705792659,0.006654640922243379,true,false
WIF,hour,2026-04-27T07:00:00.000Z,0.17676950305789035,3707.51950397738,-0.0020656370289882787,-0.5356581183417146,0.0030992635949525487,0.004435126864452719,true,false
WIF,hour,2026-04-27T06:00:00.000Z,0.1767645996841744,9478.861446987392,-0.00311734093269412,-0.44586972315415513,0.0002544526658014581,0.0025828590136421133,true,false
WIF,hour,2026-04-27T05:00:00.000Z,0.17839897340449,12461.858245474306,0.008989306549533222,-0.2238794893893959,0.009246046568349915,0.0040389491627682746,true,false
WIF,hour,2026-04-27T04:00:00.000Z,0.18142269742251146,1821.5249906069187,0.02632351329910812,-0.27673230141794686,0.026351983070477283,0.007390736730407577,true,false
WIF,hour,2026-04-27T03:00:00.000Z,0.18208949307342703,19192.403565839606,0.03012420698921969,0.019954309958556696,0.0206868884865687,0.007463975290192457,false,false
WIF,hour,2026-04-27T02:00:00.000Z,0.1804892589299582,2274.4178580766943,0.011716914540359035,0.12540744416079552,0.008866090718948672,0.008166469985705799,false,false
WIF,hour,2026-04-27T01:00:00.000Z,0.17949204223723836,8316.723912669273,-0.010641751074711693,0.21232581981019424,0.014471119743323052,0.00836071066604697,false,false
WIF,hour,2026-04-27T00:00:00.000Z,0.18023722861345512,6003.370996071167,-0.010172275339494706,0.26595541295308583,0.005555771054194185,0.008505660509946623,false,false
WIF,hour,2026-04-26T23:00:00.000Z,0.17807176108736972,1263.4533192230858,-0.013394136897235747,0.08324441114770305,0.012160645308735559,0.009654945772995152,false,false
WIF,hour,2026-04-26T22:00:00.000Z,0.17828051274222464,30213.715509835634,-0.00674976717581947,0.4191596368093375,0.012160645308735559,0.009017387304318943,false,false
WIF,hour,2026-04-26T21:00:00.000Z,0.1791136110938641,4953.499963412405,-0.006234103399363686,0.4853926611794488,0.005850731189114228,0.006638054123695211,false,false
WIF,hour,2026-04-26T20:00:00.000Z,0.17841478527179477,1937.3743096655835,0.0019263255573507435,0.12473142741167385,0.004672963628077618,0.006657642112950632,false,false
WIF,hour,2026-04-26T19:00:00.000Z,0.17890652393544856,1403.0083612975202,0.0035113831769659916,0.1563025477782943,0.003916860483309908,0.005854529989742442,false,false
WIF,hour,2026-04-26T18:00:00.000Z,0.1777500351115897,5403.3505019108115,-0.007612911011881726,0.0865389445943822,0.006506264953100128,0.005991546107561546,false,false
WIF,hour,2026-04-26T17:00:00.000Z,0.17813102124076044,4561.9725611366375,-0.0015904737412992494,0.04393146104693293,0.006506264953100128,0.0058396404048406516,false,false
WIF,hour,2026-04-26T16:00:00.000Z,0.17786612079790487,4489.642797111188,-0.005815344877636116,0.10510490545675524,0.0021433814566143416,0.003680485225603799,false,false
WIF,hour,2026-04-26T15:00:00.000Z,0.17794986660099738,1112.04144268729,0.001124227566437399,-0.5049971929654142,0.0014893249016014434,0.0036580777442660425,true,false
WIF,hour,2026-04-26T14:00:00.000Z,0.17767055901505155,1670.9563711985952,-0.0025849637109896417,-0.5710152100920416,0.0015720532849911517,0.003260219509978906,true,false
WIF,hour,2026-04-26T13:00:00.000Z,0.17759596711233544,6199.534618002547,-0.001518859715147124,-0.44936949207361476,0.0019927225511719064,0.0029105137714817144,true,false
WIF,hour,2026-04-26T12:00:00.000Z,0.17817427527981558,10165.721977510766,0.0012610780952220595,-0.26738659631368034,0.003256313625153104,0.0029830780714280997,true,false
WIF,hour,2026-04-26T11:00:00.000Z,0.18093389074261745,1550.8920968403422,0.018367318399045776,-0.34612277695913773,0.018795041827558305,0.006052831629911997,true,false
WIF,hour,2026-04-26T10:00:00.000Z,0.18035782122660526,2716.475585443806,0.015551333508169462,-0.3593185484821761,0.01548829346137655,0.00611838587091943,true,false
WIF,hour,2026-04-26T09:00:00.000Z,0.17907942055550455,8917.911905627088,0.005080112009814398,-0.22135552837621925,0.010355573975838972,0.006659341913910727,true,false
WIF,hour,2026-04-26T08:00:00.000Z,0.17950986421472856,2867.998767140021,-0.007870424507228467,-0.14890567947639474,0.0071387358030035805,0.006718523664610865,false,false
WIF,hour,2026-04-26T07:00:00.000Z,0.17960460375844328,4950.128262702167,-0.004176239561109046,-0.07998257807312392,0.0029326831710177245,0.006695209818751467,false,false
WIF,hour,2026-04-26T06:00:00.000Z,0.1797429189584925,4015.522613533397,0.0037050510936979144,-0.15384967549345815,0.0012982837727801466,0.006699649460659928,false,false
WIF,hour,2026-04-26T05:00:00.000Z,0.17831422534362334,7321.315713273691,-0.006660574761925055,-0.22692383782438502,0.008012224555365545,0.0072438457587408805,true,false
WIF,hour,2026-04-26T04:00:00.000Z,0.1784006056935915,110315.38118489723,-0.0067036035806246645,0.5381856988172948,0.008012224555365545,0.004331345184051493,false,false
WIF,hour,2026-04-26T03:00:00.000Z,0.1785566049495384,7722.444700579545,-0.0066000597733035645,0.5708518989536816,0.0013592836210794374,0.004173358369226401,false,false
WIF,hour,2026-04-26T02:00:00.000Z,0.17774281200032754,11867.686043543243,-0.003204530329504838,0.579133941232739,0.004578485847345303,0.0036289566493965283,false,false
WIF,hour,2026-04-26T01:00:00.000Z,0.17720757050195998,4723.796432469737,-0.006687394288787335,0.5912534314937314,0.007612735978249286,0.003693954301360157,false,false
WIF,hour,2026-04-26T00:00:00.000Z,0.17901978964914578,7777.060708980765,0.002594049655784379,0.6146818390381803,0.01022653344917762,0.0053286436956044994,false,false
WIF,hour,2026-04-25T23:00:00.000Z,0.1783829023741561,2813.9288243353867,0.0036012166490726034,0.621230349040295,0.01022653344917762,0.005488565305551665,false,false
WIF,hour,2026-04-25T22:00:00.000Z,0.1786579886107789,2884.3770228924454,0.008184854093481662,0.587471254625899,0.0035703381126393425,0.004622302240818377,false,false
