token,sample_group,date,in_usd,out_usd,total_volume_usd,net_volume_usd,in_value,out_value,total_value,net_value,volume_zscore_7d,volume_zscore_30d,net_volume_zscore_7d,in_out_imbalance,volume_change_3d,volume_change_7d,volume_status
LAB,P0,2026-02-11,18141.292187981126,38540.23520330983,56681.527391290954,-20398.943015328703,153452.36622919043,326001.6004204821,479453.96664967254,-172549.23419129167,-0.4163,-0.4912,-0.4631,-0.3599,-0.6935,0.2552,OK
LAB,P0,2026-02-28,51755.69939732992,43337.6381237421,95093.33752107201,8418.061273587817,322276.66909928096,269858.38900421,592135.058103491,52418.28009507095,-0.3583,-0.4518,-0.3188,0.0885,-0.9441,0.4908,OK
LAB,P0,2026-03-31,11274.603629628538,34960.1402160944,46234.74384572294,-23685.53658646586,52057.21475858242,161418.31562369,213475.5303822724,-109361.10086510758,-0.4444,-0.4828,-0.5016,-0.5123,-0.6612,0.4336,OK
LAB,P0,2026-04-01,18593.842559675548,4105.30048674816,22699.14304642371,14488.542072927386,87817.40474878995,19389.0441582,107206.44890698994,68428.36059058996,-0.4855,-0.4996,-0.3087,0.6383,-0.5995,-0.2057,OK
LAB,P0,2026-01-09,57304.78734679708,20882.047484757088,78186.83483155417,36422.73986203999,400948.67408882466,146106.9770768672,547055.6511656919,254841.69701195747,-0.3959,-0.458,-0.218,0.4658,-0.1778,-0.5772,OK
LAB,P0,2026-01-30,59128.32201257375,45088.12828331085,104216.4502958846,14040.1937292629,395433.10960203945,301536.3562898644,696969.4658919038,93896.75331217505,-0.3268,-0.3958,-0.3,0.1347,1.2541,-0.9387,OK
LAB,P0,2026-02-01,86198.0094166245,57261.47758963863,143459.4870062631,28936.53182698587,631163.574845314,419282.98740308,1050446.562248394,211880.58744223404,1.4538,-0.3519,1.0684,0.2017,5.32,0.0513,OK
LAB,P0,2026-02-09,18991.069849386684,6104.141270740201,25095.211120126885,12886.928578646482,156852.4715830279,50415.78240724999,207268.25399027788,106436.6891757779,-1.1852,-0.3955,0.2014,0.5135,-0.679,-0.5573,OK
LAB,P0,2026-02-16,3412.4924379020185,5606.748119519612,9019.240557421632,-2194.255681617594,25700.543293005812,42226.1661823,67926.70947530582,-16525.62288929419,-1.2775,-0.4015,-0.775,-0.2433,-0.9135,-0.9052,OK
LAB,P0,2026-04-06,380214.61365695996,443087.91572364466,823302.5293806046,-62873.3020666847,1542183.7718246304,1797203.3913907297,3339387.16321536,-255019.61956609925,2.6084,0.2409,-2.1686,-0.0764,4.7389,16.807,OK
LAB,P0,2026-04-12,560570.8011723742,630975.5900128399,1191546.391185214,-70404.78884046571,1307893.0326975684,1472157.6226483998,2780050.655345968,-164264.58995083137,2.1185,1.9025,-1.7586,-0.0591,46.481,51.493,OK
LAB,P0,2025-11-03,439021.90256542305,451027.67610996956,890049.5786753925,-12005.773544546508,2077915.1011237365,2134739.09556025,4212654.196683986,-56823.9944365134,1.0791,1.2884,-0.1365,-0.0135,97.6834,10.3836,OK
LAB,P0,2025-10-17,3998885.067903389,3144017.3859325033,7142902.4538358925,854867.681970886,14099496.394470714,11085355.303884802,25184851.69835552,3014141.0905859116,2.5974,5.1592,2.6278,0.1197,7.6759,67.5391,OK
LAB,P0,2025-11-18,148230.2676311758,59813.05557946791,208043.32321064372,88417.2120517079,1184439.7643683946,477938.56537433993,1662378.3297427346,706501.1989940547,-0.488,-0.259,-0.0567,0.425,-0.8254,0.4502,OK
LAB,P0,2025-12-26,617637.5597103727,348055.72256317525,965693.282273548,269581.83714719745,5350383.406767033,3015087.9481901564,8365471.354957189,2335295.4585768767,-0.1997,0.3353,0.464,0.2792,0.085,37.4812,OK
LAB,P0,2025-12-31,49574.09589998389,77748.1806716512,127322.27657163508,-28174.0847716673,474102.90252844075,743546.35124566,1217649.2537741007,-269443.44871721923,-0.587,-0.3128,-0.5387,-0.2213,-0.9822,13.1167,OK
LAB,P0,2026-01-10,16491.433704278978,6032.22269093191,22523.656395210888,10459.211013347067,125582.99792321735,45935.64290721,171518.64083042735,79647.35501600735,-0.6357,-0.3932,-0.4132,0.4644,-0.8917,-0.9726,OK
LAB,P0,2026-02-26,28324.435409003272,31741.01128899414,60065.44669799741,-3416.575879990869,193427.9976576702,216759.84599884003,410187.84365651023,-23331.848341169825,-0.565,-0.3441,-0.4934,-0.0569,-0.9378,-0.9496,OK
LAB,P0,2026-03-16,52600.901377309645,32064.89753965302,84665.79891696267,20536.003837656626,262858.6203522527,160235.55696415,423094.17731640267,102623.06338810269,-0.4841,-0.326,-0.4605,0.2426,-0.335,-0.9049,OK
LAB,P0,2025-12-07,132329.4667893328,166428.33124605872,298757.7980353915,-34098.86445672592,1202765.5337556726,1512696.0420834082,2715461.575839081,-309930.5083277356,-0.3549,-0.1639,-0.6411,-0.1141,12.2642,-0.9582,OK
LAB,P0,2026-03-24,43834.506437183416,74783.2291310735,118617.73556825692,-30948.722693890086,213399.02165504,364066.3310683142,577465.3527233542,-150667.3094132742,-0.407,-0.3046,-0.7053,-0.2609,0.9748,-0.4298,OK
LAB,P0,2026-04-11,623651.3075285008,771799.5749766673,1395450.8825051682,-148148.2674481665,1237693.165321446,1531706.9769840296,2769400.1423054757,-294013.8116625836,2.1144,0.6639,-1.4038,-0.1062,15.4819,0.445,OK
LAB,P0,2025-11-28,90139.79371907453,111034.61069321775,201174.4044122923,-20894.81697414322,957660.491039304,1179650.578414,2137311.069453304,-221990.08737469616,-0.2051,-0.2682,0.1734,-0.1039,-0.3266,0.58,OK
LAB,P0,2026-01-16,2745836.0259800144,3190497.688365379,5936333.714345394,-444661.6623853645,19053221.93527358,22138707.470234532,41191929.405508116,-3085485.5349609517,2.5803,3.2631,-2.4937,-0.0749,49.0459,262.5599,OK
LAB,P0,2026-02-12,24903.312278998394,14856.576962454947,39759.88924145334,10046.735316543447,214563.4969973583,128002.213953,342565.7109503583,86561.28304435831,-0.5126,-0.4236,0.6282,0.2527,-0.9715,-0.3381,OK
LAB,P0,2026-03-14,64223.73778340903,60320.82149609026,124544.55927949928,3902.916287318767,374604.7559751815,351839.79314581,726444.5491209915,22764.962829371507,-0.4733,-0.372,0.5777,0.0313,-0.3809,0.471,OK
LAB,P0,2026-03-17,36592.483359510996,41536.791938497976,78129.27529800897,-4944.30857898698,182715.75053433373,207403.96434063005,390119.71487496374,-24688.21380629632,-0.4972,-0.4021,0.5464,-0.0633,-0.9868,-0.7385,OK
LAB,P0,2026-04-07,304083.72583279514,388773.9220000264,692857.6478328216,-84690.19616723125,1029595.1684407459,1316347.1692236697,2345942.3376644156,-286752.0007829238,-0.2015,-0.0309,0.0374,-0.1222,16.426,4.8411,OK
LAB,P0,2026-05-01,252813.75904687872,216617.72730745754,469431.48635433626,36196.03173942119,365818.86447044346,313443.58521676983,679262.4496872133,52375.27925367362,-0.3465,-0.1772,0.7959,0.0771,2.7692,-0.6636,OK
LAB,P0,2025-11-07,724357.2410850117,836433.2619681181,1560790.5030531299,-112076.0208831064,4962200.658229228,5729976.1052791085,10692176.763508337,-767775.4470498804,0.2257,0.5126,-0.2384,-0.0718,18.977,6.7584,OK
LAB,P0,2026-02-10,12781.417176535479,6205.856910012066,18987.274086547543,6575.560266523413,108976.494863287,52912.171188479995,161888.66605176698,56064.323674807,-0.5812,-0.4554,0.542,0.3463,-0.9726,-0.9968,OK
LAB,P0,2026-04-18,889488.1656996274,589373.0569980283,1478861.2226976557,300115.10870159906,1532965.9549490334,1015740.13683653,2548706.091785563,517225.8181125035,1.5411,0.434,2.4129,0.2029,2.1503,36.1948,OK
LAB,P0,2026-04-23,17346407.604139153,17365924.51754944,34712332.12168859,-19516.91341028735,30421673.14242773,30455901.391530763,60877574.533958495,-34228.24910303205,2.6424,5.295,-0.3008,-0.0006,21.2402,277.7142,OK
LAB,P0,2025-12-04,238617.36584725094,482889.7942545155,721507.1601017665,-244272.42840726455,2601669.983179247,5264997.702220041,7866667.685399288,-2663327.7190407943,-0.3772,-0.1948,-1.5736,-0.3386,36.9995,8.2348,OK
LAB,P0,2025-11-23,69048.08692289205,51075.98680999769,120124.07373288974,17972.10011289436,775577.1995652163,573707.000157228,1349284.1997224442,201870.19940798834,-0.4311,-0.2925,0.2086,0.1496,-0.9188,-0.8266,OK
LAB,P0,2026-01-07,533199.3176276537,505490.47420024255,1038689.7918278963,27708.843427411164,4300792.224587253,4077292.35422895,8378084.578816203,223499.8703583032,-0.3539,-0.1493,0.1818,0.0267,-0.9701,1.2127,OK
LAB,P0,2026-03-12,6961.12663668148,12840.583937502486,19801.710574183966,-5879.457300821006,47528.55100081577,87671.77791852143,135200.3289193372,-40143.22691770566,-0.4386,-0.3136,-0.0154,-0.2969,-0.9726,-0.9873,OK
LAB,P0,2026-03-29,19521.800414419453,19236.50014185101,38758.300556270464,285.30027256844187,89413.78189272,88107.04912197997,177520.83101469997,1306.7327707400254,-0.4175,-0.3099,-0.0736,0.0074,-0.6773,1.0413,OK
