chain,address,moralis_entity,moralis_label,moralis_confidence,arkham_entity,arkham_label,arkham_entity_type,arkham_confidence,label_match_status,merged_entity,merged_label,merged_confidence,conflict_reason,action
ethereum,28.905928937299112,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,28.118344207125,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,29.147917540905063,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,16.528708685773,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,18.203939681631,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x50be8f30f3c7a522eef5def8cc646af1b4a7c538,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,16.820500832477073,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x9008d19f58aabd9ed0d60971565aa8510560ab41,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,21.360863200361457,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,15.818658726779,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,19.38085054528,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xb9e10ea437ab83417d05fcb83d7fae61e27ba066,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,28.118344207125716,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,16.561136955632,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,19.58393011138,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,19.877886191038,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,15.572386967267999,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,19.104685143325998,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,19.405039021613998,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,31.894451407601807,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x02f28b41221b95660f87783efdbb26ad054af484,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x71a8563d011dd2df7973d79eaa226d61692ec85f,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,18.204062783581733,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,22.442882468707488,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
