token,sample_group,window_type,matched_p0,segment,segment_start,segment_end,sort_dir,pages_fetched,rows_fetched,unique_tx_hashes,min_timestamp,max_timestamp,covers_segment_start,covers_segment_end,entity_coverage,usd_coverage,pagination_truncated,cache_hits,status,limitations
PEPE,CONTROL,CALENDAR_MATCHED,LAB,SEG_A,2026-03-24,2026-04-08,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,LAB,SEG_B,2026-04-09,2026-04-15,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,LAB,SEG_C,2026-04-16,2026-04-22,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,LAB,SEG_D,2026-04-23,2026-04-26,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,LAB,SEG_E,2026-04-29,2026-05-05,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,LAB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,LAB,SEG_A,2026-03-24,2026-04-08,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,LAB,SEG_B,2026-04-09,2026-04-15,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,LAB,SEG_C,2026-04-16,2026-04-22,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,LAB,SEG_D,2026-04-23,2026-04-26,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,LAB,SEG_E,2026-04-29,2026-05-05,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,LAB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,LAB,SEG_A,2026-03-24,2026-04-08,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,LAB,SEG_B,2026-04-09,2026-04-15,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,LAB,SEG_C,2026-04-16,2026-04-22,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,LAB,SEG_D,2026-04-23,2026-04-26,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,LAB,SEG_E,2026-04-29,2026-05-05,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,LAB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,LAB,SEG_A,2026-03-24,2026-04-08,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,LAB,SEG_B,2026-04-09,2026-04-15,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,LAB,SEG_C,2026-04-16,2026-04-22,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,LAB,SEG_D,2026-04-23,2026-04-26,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,LAB,SEG_E,2026-04-29,2026-05-05,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,LAB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,UB,SEG_A,2026-03-26,2026-04-10,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,UB,SEG_B,2026-04-11,2026-04-17,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,UB,SEG_C,2026-04-18,2026-04-24,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,UB,SEG_D,2026-04-25,2026-04-28,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,UB,SEG_E,2026-04-29,2026-05-05,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,UB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,UB,SEG_A,2026-03-26,2026-04-10,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,UB,SEG_B,2026-04-11,2026-04-17,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,UB,SEG_C,2026-04-18,2026-04-24,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,UB,SEG_D,2026-04-25,2026-04-28,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,UB,SEG_E,2026-04-29,2026-05-05,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,UB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,UB,SEG_A,2026-03-26,2026-04-10,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,UB,SEG_B,2026-04-11,2026-04-17,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,UB,SEG_C,2026-04-18,2026-04-24,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,UB,SEG_D,2026-04-25,2026-04-28,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,UB,SEG_E,2026-04-29,2026-05-05,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,UB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,UB,SEG_A,2026-03-26,2026-04-10,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,UB,SEG_B,2026-04-11,2026-04-17,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,UB,SEG_C,2026-04-18,2026-04-24,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,UB,SEG_D,2026-04-25,2026-04-28,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,UB,SEG_E,2026-04-29,2026-05-05,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,UB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,BSB,SEG_A,2026-03-26,2026-04-10,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,BSB,SEG_B,2026-04-11,2026-04-17,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,BSB,SEG_C,2026-04-18,2026-04-24,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,BSB,SEG_D,2026-04-25,2026-04-28,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,BSB,SEG_E,2026-05-01,2026-05-07,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PEPE,CONTROL,CALENDAR_MATCHED,BSB,SEG_F,2026-05-08,2026-05-11,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,BSB,SEG_A,2026-03-26,2026-04-10,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,BSB,SEG_B,2026-04-11,2026-04-17,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,BSB,SEG_C,2026-04-18,2026-04-24,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,BSB,SEG_D,2026-04-25,2026-04-28,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,BSB,SEG_E,2026-05-01,2026-05-07,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
FLOKI,CONTROL,CALENDAR_MATCHED,BSB,SEG_F,2026-05-08,2026-05-11,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,BSB,SEG_A,2026-03-26,2026-04-10,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,BSB,SEG_B,2026-04-11,2026-04-17,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,BSB,SEG_C,2026-04-18,2026-04-24,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,BSB,SEG_D,2026-04-25,2026-04-28,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,BSB,SEG_E,2026-05-01,2026-05-07,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,CALENDAR_MATCHED,BSB,SEG_F,2026-05-08,2026-05-11,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,BSB,SEG_A,2026-03-26,2026-04-10,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,BSB,SEG_B,2026-04-11,2026-04-17,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,BSB,SEG_C,2026-04-18,2026-04-24,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,BSB,SEG_D,2026-04-25,2026-04-28,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,BSB,SEG_E,2026-05-01,2026-05-07,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,CALENDAR_MATCHED,BSB,SEG_F,2026-05-08,2026-05-11,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
